English,Chinese
"The bereaved parents are in such a distress that they can't stop missing their beloved ones,  and accusing and even torturing themselves every day.",他们每天不断地思念，不断地自责，甚至于不断地自虐。
"One mother, for instance, blamed herself for the loss of her son who had fever caused by viral cold for a week and tragically died when the virus infected the brain.",我们星星港，有位母亲，她的儿子患了病毒感冒高烧不退，一周之后，由于病毒转到了脑子里无法救活，他的妈妈，把孩子的走归罪于自己的错过。
"Disasters pile up on one another. On December 17, last year, a dump car accident claimed the life of a father and his daughter.",在去年，12月17号，一辆夺命的土方车一下子带走了父女两条性命。
As usual the father went to take back home his daughter after work but they never came back again.,好端端的父亲去接女儿下班，怎么就一去不归了呢。
"Though the Traffic Police Brigade held the driver liable for the accident, the non-native driver couldn't make compensation since he had no money and his company was just affiliated to Daihing Automobile.",交通大队，认准这是驾驶员的全责，但是这是外地的驾驶员，要钱没有，挂靠的公司也是大兴。
The poor woman was so desperate that she almost wanted to take her own life.,她真的不想活了。
Many parents gave out their helping hands to keep company with her and give emotional support some time ago.,在前段时间，我们星星港的多位爸爸妈妈，多次地陪同她、劝慰她。
There are a lot more tear-shedding stories like this in our organization.,在星星港里，像这样催人泪下的故事，还有很多很多。
To assist more parents in getting out of the desperate mess and regain control of their life.,怎样才能从绝望当中走出来？怎样才能继续地生活，朝前走。
Shanghai Star Harbor has made great efforts and organized many activities for the past several years.,几年来，我们星星港成立后，做了很多的工作，组织了很多的活动。
"On the one hand, we actively call for help and care from the relevant departments of the government for they have a bounden duty for the bereaved family groups.",我们曾经一方面积极地向政府相关的部门反映、呼吁，诚恳地希望他们关心帮助我们这样的群体，因为，这也是他们责无旁贷的工作。
"On the other hand, we take initiative to carry out self-saving activities and establish our tenet of ""overcome the hardship, rebuild the life, help other and yourselves, and give back to the society.""",另一方面，我们团队积极地开展自助的活动，我们确立了我们自己团队的宗旨，那就是“跨越苦难、重塑人生、自助助人、奉献社会”。
"When a new member bursts into tears, we won't stop him or her right now for he or she may feel better and relieved while crying.",当新成员失声痛哭的时候，我们在旁边不会马上劝他停止，因为我们觉得让他哭出来，也许会好受一些。
"When he or she calms down, we will share our stories and feelings to help him or her face the hard fact, remind him or her to address problems reasonably and encourage him or her to find opportunities and hopes to move on the life.",当新成员情绪平静的时候，我们会以自己的切身感受劝说他坚强地面对，提醒他理智地处理问题，鼓励他寻找生活的再生希望。
"In addition to caring for our new members, we often organize various activities.",在我们星星港里，我们除了第一时间关心我们的新发生灾难的新成员，我们还经常组织各类的活动。
"On the family-gathering events such as Spring Festival and Middle Autumn Day, the bereaved families usually miss the children in great grief when others have a lot of fun.",春节、中秋，也许大家都非常高兴的时候，就是我们这些家庭非常难过的时候，因我我们都想孩子。
"On such occasions, Shanghai Start Harbor arranges the travel for the families to other places to relieve their pain and cheer them up.",在这样的时候每逢节日里，我们星星港就会组织大家异地旅游，能够减少一些痛苦，让大家能够一些快乐。
All these efforts result in new progress.,所以我们有了新的进步。
"Before joined the organization, some parents felt that simple laugh seemed nearly impossible for them.",当有些家长没有参加星星港之前，觉得自己这一辈子永远不会笑了。
They were stripped of it for there's nothing that could be laugh about.,因为是笑不出来了，快乐已经与己无缘了。
"But since the entry to the organization, they have embraced changes one after another with the peer support and under the group influence.",但是，加入了星星港之后，在大家的帮助下，在集体的感染之下，发生了一个一个的转变。
One of changes is the smiles that reappear on their faces.,我们星星港很多人到目前已经出现了久违的笑容，星星港就是让我们一个一个逐步地转变。
"Therefore, we realize that making sad parents happy again is the purpose and commitment of the organization.",在这里，我们深深体会到这就是星星港存在的意义，这就是我们大家为它而付出的心血。
"Ms. Wang, one of us, is already 71 years old.",我们星星港的王老师，她已经71岁了。
